"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"GO:0048699","generation of neurons","6/38","153/1871",0.0392156862745098,1.93085655314757,1.72961030941673,0.0842034775087845,0.682580091447175,0.67166273871995,"SOS1/BMPR2/KREMEN1/ZMYND8/GIT1/RAB11A",6,"SOS1;BMPR2;KREMEN1;ZMYND8;GIT1;RAB11A"
"GO:0001501","skeletal system development","3/38","52/1871",0.0576923076923077,2.84058704453441,1.93763982537813,0.0863679348478984,0.682580091447175,0.67166273871995,"BMPR2/RARG/ANKRD11",3,"BMPR2;RARG;ANKRD11"
"GO:0048588","developmental cell growth","2/38","25/1871",0.08,3.93894736842105,2.12949847672001,0.0899325332553058,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
"GO:0060491","regulation of cell projection assembly","2/38","25/1871",0.08,3.93894736842105,2.12949847672001,0.0899325332553058,0.682580091447175,0.67166273871995,"ZMYND8/RAB11A",2,"ZMYND8;RAB11A"
"GO:0098739","import across plasma membrane","2/38","25/1871",0.08,3.93894736842105,2.12949847672001,0.0899325332553058,0.682580091447175,0.67166273871995,"SLC43A1/SLC2A3",2,"SLC43A1;SLC2A3"
"GO:0120032","regulation of plasma membrane bounded cell projection assembly","2/38","25/1871",0.08,3.93894736842105,2.12949847672001,0.0899325332553058,0.682580091447175,0.67166273871995,"ZMYND8/RAB11A",2,"ZMYND8;RAB11A"
"GO:0051668","localization within membrane","4/38","85/1871",0.0470588235294118,2.31702786377709,1.78893708807936,0.0905508572072912,0.682580091447175,0.67166273871995,"TOMM40/ZMYND8/GIT1/RAB11A",4,"TOMM40;ZMYND8;GIT1;RAB11A"
"GO:0001667","ameboidal-type cell migration","2/38","26/1871",0.0769230769230769,3.78744939271255,2.0602828582013,0.0962133413142018,0.682580091447175,0.67166273871995,"BMPR2/RAB11A",2,"BMPR2;RAB11A"
"GO:0061014","positive regulation of mRNA catabolic process","2/38","26/1871",0.0769230769230769,3.78744939271255,2.0602828582013,0.0962133413142018,0.682580091447175,0.67166273871995,"GTPBP1/METTL16",2,"GTPBP1;METTL16"
"GO:0001503","ossification","3/38","55/1871",0.0545454545454545,2.68564593301435,1.82650619190477,0.0984010301485626,0.682580091447175,0.67166273871995,"BMPR2/KREMEN1/GIT1",3,"BMPR2;KREMEN1;GIT1"
"GO:0060627","regulation of vesicle-mediated transport","3/38","55/1871",0.0545454545454545,2.68564593301435,1.82650619190477,0.0984010301485626,0.682580091447175,0.67166273871995,"ARF1/GIT1/RAB11A",3,"ARF1;GIT1;RAB11A"
"GO:1901135","carbohydrate derivative metabolic process","5/38","124/1871",0.0403225806451613,1.98535653650255,1.63451594316976,0.102205004364112,0.682580091447175,0.67166273871995,"ALG8/BMPR2/GTPBP1/IMPDH2/GIT1",5,"ALG8;BMPR2;GTPBP1;IMPDH2;GIT1"
"GO:0007423","sensory organ development","3/38","56/1871",0.0535714285714286,2.63768796992481,1.79109337181346,0.10255908721872,0.682580091447175,0.67166273871995,"SOS1/BMPR2/RARG",3,"SOS1;BMPR2;RARG"
"GO:0072657","protein localization to membrane","3/38","56/1871",0.0535714285714286,2.63768796992481,1.79109337181346,0.10255908721872,0.682580091447175,0.67166273871995,"ZMYND8/GIT1/RAB11A",3,"ZMYND8;GIT1;RAB11A"
"GO:0016358","dendrite development","2/38","27/1871",0.0740740740740741,3.64717348927875,1.9944134653013,0.10261792724899,0.682580091447175,0.67166273871995,"ZMYND8/GIT1",2,"ZMYND8;GIT1"
"GO:0060541","respiratory system development","2/38","27/1871",0.0740740740740741,3.64717348927875,1.9944134653013,0.10261792724899,0.682580091447175,0.67166273871995,"BMPR2/RARG",2,"BMPR2;RARG"
"GO:0099003","vesicle-mediated transport in synapse","2/38","27/1871",0.0740740740740741,3.64717348927875,1.9944134653013,0.10261792724899,0.682580091447175,0.67166273871995,"GIT1/RAB11A",2,"GIT1;RAB11A"
"GO:0051128","regulation of cellular component organization","10/38","325/1871",0.0307692307692308,1.51497975708502,1.47013921698286,0.108228747660305,0.682580091447175,0.67166273871995,"BMPR2/TOM1L2/ZNF469/FCHSD2/KREMEN1/ARF1/TMEM39A/ZMYND8/GIT1/RAB11A",10,"BMPR2;TOM1L2;ZNF469;FCHSD2;KREMEN1;ARF1;TMEM39A;ZMYND8;GIT1;RAB11A"
"GO:0006520","amino acid metabolic process","2/38","28/1871",0.0714285714285714,3.51691729323308,1.93159762114456,0.109138999061785,0.682580091447175,0.67166273871995,"FARSA/ASL",2,"FARSA;ASL"
"GO:0110053","regulation of actin filament organization","2/38","28/1871",0.0714285714285714,3.51691729323308,1.93159762114456,0.109138999061785,0.682580091447175,0.67166273871995,"FCHSD2/ARF1",2,"FCHSD2;ARF1"
"GO:0097435","supramolecular fiber organization","4/38","91/1871",0.043956043956044,2.16425679583574,1.63904488082343,0.109700864168426,0.682580091447175,0.67166273871995,"FCHSD2/ARF1/GIT1/RAB11A",4,"FCHSD2;ARF1;GIT1;RAB11A"
