"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:0048513","animal organ development","1/3","267/1522",1,0.439591287027606,0.489490838528037,"CORO1C"
"loss_up","GO_BP","GO:0043412","macromolecule modification","1/3","270/1522",1,0.443603746320447,0.491303073881785,"CORO1C"
"loss_up","GO_BP","GO:0010557","positive regulation of macromolecule biosynthetic process","1/3","290/1522",1,0.46986507315182,0.517605374702005,"ELF1"
"loss_up","GO_BP","GO:0009966","regulation of signal transduction","1/3","298/1522",1,0.480133746881101,0.526103999242058,"ELF1"
"loss_up","GO_BP","GO:0009891","positive regulation of biosynthetic process","1/3","302/1522",1,0.48521797947894,0.528861924723078,"ELF1"
"loss_up","GO_BP","GO:0042221","response to chemical","1/3","322/1522",1,0.510142464996242,0.55310183046961,"CORO1C"
"loss_up","GO_BP","GO:0010605","negative regulation of macromolecule metabolic process","1/3","326/1522",1,0.515028790514647,0.55490050661006,"CORO1C"
"loss_up","GO_BP","GO:0010646","regulation of cell communication","1/3","329/1522",1,0.518672133256342,0.55490050661006,"ELF1"
"loss_up","GO_BP","GO:0023051","regulation of signaling","1/3","330/1522",1,0.519882513474474,0.55490050661006,"ELF1"
"loss_up","GO_BP","GO:0048731","system development","1/3","341/1522",1,0.53306303561468,0.566036006889815,"CORO1C"
"loss_up","GO_BP","GO:0022607","cellular component assembly","1/3","345/1522",1,0.53779547091804,0.568132651328801,"CORO1C"
"loss_up","GO_BP","GO:0009892","negative regulation of metabolic process","1/3","350/1522",1,0.543665909441551,0.571403966045712,"CORO1C"
"loss_up","GO_BP","GO:0006810","transport","1/3","361/1522",1,0.556405461515135,0.58182500036608,"CORO1C"
"loss_up","GO_BP","GO:0010604","positive regulation of macromolecule metabolic process","1/3","366/1522",1,0.562116911410937,0.584828705811378,"ELF1"
"loss_up","GO_BP","GO:0051234","establishment of localization","1/3","390/1522",1,0.5888502591767,0.605729749650376,"CORO1C"
"loss_up","GO_BP","GO:0009893","positive regulation of metabolic process","1/3","391/1522",1,0.589939878631178,0.605729749650376,"ELF1"
"loss_up","GO_BP","GO:0048583","regulation of response to stimulus","1/3","392/1522",1,0.591027571260804,0.605729749650376,"ELF1"
"loss_up","GO_BP","GO:0044085","cellular component biogenesis","1/3","399/1522",1,0.598587611805291,0.610440831841039,"CORO1C"
"loss_up","GO_BP","GO:0006996","organelle organization","1/3","412/1522",1,0.61237941657244,0.621429358689274,"CORO1C"
"loss_up","GO_BP","GO:0006950","response to stress","1/3","415/1522",1,0.615516619938606,0.621551096604671,"TSC22D2"
"loss_up","GO_BP","GO:0007275","multicellular organism development","1/3","428/1522",1,0.628915625260462,0.631983506359294,"CORO1C"
"loss_up","GO_BP","GO:0051179","localization","1/3","459/1522",1,0.659603010307456,0.659603010307456,"CORO1C"
