distance_bp,Scramble replicate 1,Scramble replicate 2,Scramble mean,Scramble sem,p53KD replicate 1,p53KD replicate 2,p53KD mean,p53KD sem
505.05050505050485,0.22527805393351066,0.21420093199337967,0.21973949296344517,0.005538560970065497,0.06163363210050321,0.029600572984643476,0.04561710254257334,0.016016529557929867
545.4545454545455,0.21779711761601941,0.20975512387752085,0.21377612074677013,0.004020996869249283,0.06070887096187405,0.029029856359120455,0.04486936366049725,0.015839507301376798
585.8585858585857,0.21068178983679642,0.1890266295831506,0.19985420970997353,0.010827580126822903,0.06290014742073256,0.028010929480161775,0.04545553845044717,0.017444608970285394
626.2626262626259,0.20279046453455168,0.2092865409011055,0.2060385027178286,0.003248038183276902,0.05404788249919269,0.030752742662332917,0.04240031258076281,0.011647569918429886
666.6666666666665,0.190587844631546,0.1975879138291515,0.19408787923034876,0.0035000345988027565,0.045636103186102235,0.024153272701757184,0.034894687943929706,0.010741415242172526
707.0707070707067,0.18177265392960082,0.1797336852035231,0.18075316956656196,0.001019484363038864,0.049690808771771275,0.021610885486408642,0.03565084712908996,0.014039961642681316
747.4747474747473,0.1802640204456181,0.16497821563059312,0.1726211180381056,0.007642902407512488,0.05110688695194854,0.015486136716956802,0.03329651183445267,0.017810375117495867
787.8787878787875,0.18025332266753086,0.14023431033533554,0.1602438165014332,0.02000950616609766,0.05109374783046187,0.012087293034613441,0.031590520432537655,0.01950322739792421
828.2828282828282,0.17614112050727096,0.11615574856333079,0.14614843453530088,0.029992685971970082,0.06120221080534283,0.01919544657259914,0.04019882868897098,0.02100338211637184
868.6868686868684,0.16751402007723568,0.10186069499809361,0.13468735753766464,0.03282666253957103,0.044314268475974944,0.029708480793813653,0.037011374634894297,0.007302893841080646
909.090909090909,0.15700925828610457,0.09363161962435004,0.12532043895522732,0.03168881933087726,0.03584520640799643,0.029091990280209014,0.03246859834410272,0.003376608063893709
949.4949494949492,0.14018770761546737,0.111155004355879,0.1256713559856732,0.014516351629794186,0.029825642989280393,0.02375368653570712,0.026789664762493757,0.003035978226786636
989.8989898989898,0.12695765781191376,0.10304307476943084,0.1150003662906723,0.011957291521241462,0.02414505857408844,0.02641346842147565,0.025279263497782044,0.001134204923693604
1030.30303030303,0.12032478659056195,0.1125152791275953,0.11642003285907862,0.0039047537314833222,0.01567029260114179,0.020523361037166555,0.01809682681915417,0.0024265342180123817
1070.7070707070707,0.11487969492753372,0.11306452831053837,0.11397211161903605,0.0009075833084976753,0.01964872220386973,0.023361827342111306,0.021505274772990517,0.0018565525691207876
1111.1111111111109,0.11767172237517251,0.09232154407804564,0.10499663322660907,0.012675089148563433,0.02234112948560367,0.02633350451554483,0.02433731700057425,0.00199618751497058
1151.5151515151515,0.12728325546605493,0.07424638265488845,0.10076481906047169,0.02651843640558324,0.02674978277208062,0.023080847440426062,0.02491531510625334,0.0018344676658272798
1191.9191919191917,0.12206637622030464,0.06322912319846052,0.09264774970938258,0.029418626510922054,0.027823009556298,0.02085152177543412,0.02433726566586606,0.0034857438904319395
