Gene,RNA_log2FC,RNA_stat,RNA_padj,RNA_baseMean,RNA_ID_rows,H4K16ac_Fold_median,H4K16ac_Fold_mean,H4K16ac_min_FDR,H4K16ac_peak_count,H4K16ac_Fold_nearest_TSS
NUCKS1,-0.2055355665029042,-2.6311552075558,0.0241154388084009,3120.833007478368,1,-0.386395065958925,-0.386395065958925,0.67502763370315,1,-0.386395065958925
NUDT1,-0.8890680225610154,-5.521302583855471,2.689213352240376e-07,270.3381867868092,1,-0.658464893207892,-0.658464893207892,0.451267933469196,1,-0.658464893207892
NUDT19-DT,1.3190894093856262,5.158023123374837,1.7605102947188368e-06,98.36805218591424,1,-0.286222079887627,-0.286222079887627,0.790282441659677,1,-0.286222079887627
NUDT3,-0.2370388502838944,-2.0106398629136937,0.0995250276811737,511.4549079093349,1,-3.20018294152249,-3.20018294152249,0.0250873974608285,1,-3.20018294152249
NUDT8,-1.1129625059945736,-3.9965642156763215,0.0003048071810244,81.46756870572523,1,-0.26217477036045,-0.26217477036045,0.807342573774808,1,-0.26217477036045
NUMBL,0.8467185052907783,5.5625151987670645,2.1604810371820546e-07,336.9649676186965,1,-0.23364836141796247,-0.23364836141796247,0.711846184719204,2,-0.135954048636701
NUP205,-0.3220228493274583,-3.71007765431139,0.0008834923437948,1603.144784422894,1,-0.592064732592346,-0.592064732592346,0.512166417715874,1,-0.592064732592346
NVL,-0.0151523156482967,-0.0995459349773455,0.9590334543914668,307.1541597491706,1,0.0785157017426097,0.0785157017426097,0.943450460600675,1,0.0785157017426097
NXN,0.3780575395361847,4.168708774436696,0.0001543698264898,1429.415821098254,1,-0.36073935098856746,-0.36612832671033774,0.237616649128218,4,0.236868101661244
OAF,-1.3149701310614632,-9.421421125500508,1.2356315714743613e-19,501.506781589317,1,-0.852133481063633,-0.852133481063633,0.301238273979967,1,-0.852133481063633
OARD1,0.049917027501903,0.2543569226865466,0.8831757629475666,149.75291946278426,1,0.231030307534893,0.231030307534893,0.832929435366509,1,0.231030307534893
ODC1-DT,0.7896973967229138,1.6076552317860673,0.2068751772409706,25.46228466214968,1,-0.215221177320041,-0.215221177320041,0.840892721291557,1,-0.215221177320041
OIP5-AS1,-0.1344598566499559,-1.0427557974493442,0.4489668310986868,409.2707091190432,1,-0.229659070127632,-0.229659070127632,0.833105013901577,1,-0.229659070127632
OLA1,0.171911204025299,2.018017351732313,0.0981406234354008,2662.8328793710034,1,-1.37730923270232,-1.37730923270232,0.0470652101919716,1,-1.37730923270232
OLMALINC,-0.4333653488999303,-1.6263970319447636,0.2006055979388452,89.47047030755333,1,-0.275663461015665,-0.275663461015665,0.791643078607751,1,-0.275663461015665
OPA3,-0.4778617958531411,-3.726727125221372,0.0008332868597944,460.8033718959286,1,-0.223552968399286,-0.223552968399286,0.832929435366509,1,-0.223552968399286
OSBPL1A,0.6331179653217058,4.786137328894855,1.0513369791548396e-05,403.4427704127281,1,0.281923222930658,0.281923222930658,0.777736224372197,1,0.281923222930658
OSBPL3,-1.567797304115197,-16.85168692019284,2.7481115921914003e-61,1818.3590914659687,1,-0.2509866712252595,-0.2509866712252595,0.740417557199685,2,-0.346752472377608
OSER1-DT,0.4372188781923463,1.5219967968828054,0.2363910803935205,72.91736129056294,1,0.755047311858033,0.755047311858033,0.339624810514007,1,0.755047311858033
OST4,-0.2934754220071514,-2.6658077016508748,0.022017128989054,749.7397239322052,1,-2.8079071689536,-2.8079071689536,0.0101142234268828,1,-2.8079071689536
OTUB1,0.0940093513767382,0.984883565936739,0.4794462082372822,1045.9364851229848,1,-0.812386144309347,-0.812386144309347,0.300299139440092,1,-0.812386144309347
OTUD4,0.8133724234950338,7.716969212771565,1.9705982426563787e-13,919.0385847245136,1,-0.65713826655478,-0.65713826655478,0.447604461780213,1,-0.65713826655478
OXLD1,-0.0051896704665636,-0.0316737698517125,0.9865337619836232,252.52391321766345,1,0.484461995623759,0.484461995623759,0.588736765004475,1,0.484461995623759
OXR1,-0.0506548677098081,-0.627376866879813,0.6785109611669212,2391.4514535877765,1,-0.171137946348473,-0.171137946348473,0.872799829838139,1,-0.171137946348473
OXR1-AS1,-1.4740769825677509,-3.1934558743836825,0.0049505730791847,30.830755457113856,1,-0.339212900751264,-0.339212900751264,0.719938053599974,1,-0.339212900751264
P3H3,-1.275467350687233,-9.400517846086409,1.496900001367173e-19,390.5211290874803,1,-0.259260878517586,-0.259260878517586,0.80025636959906,1,-0.259260878517586
P3H4,0.0265274807446514,0.1753383486443679,0.923684858505202,507.0558857551959,1,-0.680707654012263,-0.680707654012263,0.397544587582536,1,-0.680707654012263
PA2G4,0.5128338960023116,7.159899044002116,1.126850814461102e-11,3995.980972089075,1,-0.613278935899697,-0.613278935899697,0.376977540529389,1,-0.613278935899697
